event,date,page_url,pdf_url
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20076,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_12.08.25_-_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19341,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_2_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19341,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_1_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19341,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19341,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/special_mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19341,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.10.25_fsr_amended.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19346,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_2_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19346,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_1_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19346,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19346,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/special_mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19346,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.10.25_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19396,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_2_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19396,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_1_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19396,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19396,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/special_mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19396,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.10.25_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20166,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/12.08.25_att.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20166,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_12.08.25_-_fsr.pdf
Village of Ballston Spa Board of Trustees Meeting,"October 14, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/20166,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._11.24.25_0.pdf
Planning Board Meeting,"October 8, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18891,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/10.8.25_meeting_agenda.pdf
Planning Board Meeting,"October 8, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18891,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/info_packet_154_milton_ave_mcandrew_0.pdf
Zoning Board of Appeals Meeting,"September 24, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18571,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/info_packet_20_milton_ave.pdf
Zoning Board of Appeals Meeting,"September 24, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18571,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/9.24.25_zba_agenda.pdf
Village of Ballston Spa Board of Trustees Meeting,"September 22, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18736,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._09.08.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"September 22, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18736,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/9-22-25_attachments.pdf
